script,line,source
analyze_joao_topology_gaps.py,12,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
analyze_sndt_cc_roles.py,13,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
analyze_sndt_motif_text_map.py,13,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
analyze_sndt_motifs.py,28,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
build_sndt_lab.py,27,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
dbg_driver.py,27,"CONF = ""/Users/dong/Projects/sea2_demo/game_dos/dosbox-x.conf"""
decode_eventcg.py,21,"EXE = Path(""/Users/dong/Projects/Koukai2/Main.exe"")"
decode_eventcg.py,141,"fn = sys.argv[1] if len(sys.argv) > 1 else ""/Users/dong/Projects/Koukai2/Endgrp.dat"""
decode_eventcg_vram.py,22,"EXE = Path(""/Users/dong/Projects/Koukai2/Main.exe"")"
decode_eventcg_vram.py,200,"fn = sys.argv[1] if len(sys.argv) > 1 else ""/Users/dong/Projects/Koukai2/Graph.dat"""
decode_text.py,15,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
disasm_exe.py,20,"EXE = Path(""/Users/dong/Projects/Koukai2/Main.exe"")"
disasm_joao_control_layer.py,11,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
experiments/decode_bitlzss.py,21,"SRC = Path(""/Users/dong/Projects/Koukai2/Kao.lzw"")"
experiments/decode_bitlzss.py,22,"OUT_DIR = Path(""/Users/dong/Projects/sea2_demo/output/decompressed_bitlzss"")"
experiments/decode_ls11.py,30,"SRC_DIR = Path(""/Users/dong/Projects/Koukai2"")"
experiments/decode_ls11.py,31,"OUT_DIR = Path(""/Users/dong/Projects/sea2_demo/output/decompressed"")"
experiments/decode_lzw.py,17,"SRC_DIR = Path(""/Users/dong/Projects/Koukai2"")"
experiments/decode_lzw.py,18,"OUT_DIR = Path(""/Users/dong/Projects/sea2_demo/output/decompressed_lzw"")"
experiments/render_kao.py,11,"PARTS = Path(""/Users/dong/Projects/sea2_demo/output/kao_parts"")"
experiments/render_kao.py,12,"OUT = Path(""/Users/dong/Projects/sea2_demo/output/kao_png"")"
experiments/render_kao_v2.py,11,"PARTS = Path(""/Users/dong/Projects/sea2_demo/output/kao_parts"")"
experiments/render_kao_v2.py,12,"OUT = Path(""/Users/dong/Projects/sea2_demo/output/kao_png_v2"")"
experiments/render_kao_v3.py,16,"PARTS = Path(""/Users/dong/Projects/sea2_demo/output/kao_parts"")"
experiments/render_kao_v3.py,17,"OUT = Path(""/Users/dong/Projects/sea2_demo/output/kao_png_v3"")"
experiments/visualize_decoded.py,10,"DECODED_DIR = Path(""/Users/dong/Projects/sea2_demo/output/decompressed"")"
experiments/visualize_decoded.py,11,"OUT_DIR = Path(""/Users/dong/Projects/sea2_demo/output/visualize"")"
export_sndt_topology.py,30,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
export_sndt_topology_v0_motif.py,18,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
extract_dat_phase1.py,23,KOUKAI = Path('/Users/dong/Projects/Koukai2')
extract_messages.py,23,SRC = Path('/Users/dong/Projects/Koukai2/Message.dat')
extract_remaining_dats.py,10,KOUKAI = Path('/Users/dong/Projects/Koukai2')
extract_sndt_motif_records.py,20,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
extract_sndt_short_text_motifs.py,13,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
inventory_lzw.py,12,"SRC = Path(""/Users/dong/Projects/Koukai2"")"
render_font_v1.py,46,p1 = Path('/Users/dong/Projects/Koukai2/1.pat').read_bytes()
render_font_v1.py,47,p2 = Path('/Users/dong/Projects/Koukai2/2.pat').read_bytes()
render_portmap_v2.py,17,"CHIP_NO = Path(""/Users/dong/Projects/Koukai2/Chip_no.dat"")"
scan_ls11_in_exe.py,17,EXE_PATH = Path('/Users/dong/Projects/Koukai2/Main.exe')
sndt_disasm.py,12,"KOUKAI = Path(""/Users/dong/Projects/Koukai2"")"
